**************************ELEKTRODENFLAECHE***************************
*
*Quelle:                 E:\Prozessdaten\MDK1\Testdaten\Output_sv5_4000_testdaten\sv5_4000_testdaten_ALL\
*SCHWEISSBEDINGUNGEN:    3.5kN          600ms     9.2kA     
*SHEET:                  HX340+Z100MB   HX340+Z100MB   4.0mm     
*AUTOR:                  Xiaochuan Lu
*DATUM:                  2020-12-19
*
**********************************************************************

Punktnummer	Ai
 	[mm^2]
   1	28.28358
   2	27.67484
   3	30.99878
   4	26.90365
   5	31.58620
   6	30.34063
   7	27.07292
   8	27.22337
   9	30.07784
  10	31.90285
  11	30.52253
  12	29.27200
  13	29.32350
  14	29.91107
  15	29.45782
  16	28.63348
  17	37.37551
  18	38.08722
  19	37.46058
  20	37.43235
  21	37.66999
  22	37.26472
  23	36.74126
  24	36.15085
  25	45.75538
  26	45.33239
  27	44.37152
  28	44.90884
  29	44.80959
  30	45.31690
  31	44.15111
  32	44.25717
  33	51.59215
  34	51.76350
  35	51.33388
  36	49.74821
  37	50.70572
  38	49.56275
  39	49.95702
  40	49.11888
  41	57.95580
  42	58.62080
  43	56.40398
  44	56.13971
  45	56.66261
  46	56.04116
  47	55.14297
  48	56.94426
  49	57.29863
  50	56.89730
  51	56.91226
  52	56.17679
  53	55.67059
  54	54.96752
  55	55.31226
  56	55.61834
  57	58.83763
  58	57.30440
  59	59.54002
  60	58.11908
  61	57.96857
  62	56.82702
  63	57.72480
  64	58.27434
  65	57.15790
  66	57.63240
  67	57.19325
  68	57.44775
  69	57.31868
  70	56.94043
  71	57.76042
  72	56.26284
  73	57.35790
  74	58.56383
  75	58.18103
  76	58.64218
  77	57.90648
  78	57.48409
  79	57.86489
  80	56.80959
  81	63.59791
  82	63.99627
  83	63.53259
  84	63.78836
  85	63.60424
  86	62.78786
  87	62.88966
  88	63.35961
