***************************LAEGENAENDERUNG****************************
*
*Quelle:                 E:\Prozessdaten\MDK1\Testdaten\Output_sv5_4000_testdaten\sv5_4000_testdaten_ALL\
*SCHWEISSBEDINGUNGEN:    3.5kN          600ms     9.2kA     
*SHEET:                  HX340+Z100MB   HX340+Z100MB   4.0mm     
*AUTOR:                  Xiaochuan Lu
*DATUM:                  2020-12-19
*
**********************************************************************

Punktnummer	EL
 	[mm]
   1	-0.00000
   2	0.01305
   3	-0.05850
   4	0.02956
   5	-0.07122
   6	-0.04428
   7	0.02594
   8	0.02272
   9	-0.03861
  10	-0.07808
  11	-0.04821
  12	-0.02124
  13	-0.02235
  14	-0.03501
  15	-0.02524
  16	-0.00751
  17	-0.19776
  18	-0.21347
  19	-0.19963
  20	-0.19901
  21	-0.20425
  22	-0.19532
  23	-0.18379
  24	-0.17081
  25	-0.38495
  26	-0.37539
  27	-0.35370
  28	-0.36582
  29	-0.36358
  30	-0.37504
  31	-0.34873
  32	-0.35112
  33	-0.51834
  34	-0.52230
  35	-0.51238
  36	-0.47592
  37	-0.49792
  38	-0.47167
  39	-0.48071
  40	-0.46151
  41	-0.66677
  42	-0.68247
  43	-0.63028
  44	-0.62408
  45	-0.63634
  46	-0.62177
  47	-0.60076
  48	-0.64296
  49	-0.65129
  50	-0.64186
  51	-0.64221
  52	-0.62495
  53	-0.61310
  54	-0.59667
  55	-0.60472
  56	-0.61187
  57	-0.68760
  58	-0.65143
  59	-0.70423
  60	-0.67062
  61	-0.66707
  62	-0.64020
  63	-0.66133
  64	-0.67429
  65	-0.64798
  66	-0.65915
  67	-0.64881
  68	-0.65480
  69	-0.65176
  70	-0.64287
  71	-0.66217
  72	-0.62697
  73	-0.65269
  74	-0.68112
  75	-0.67208
  76	-0.68298
  77	-0.66561
  78	-0.65566
  79	-0.66463
  80	-0.63980
  81	-0.80116
  82	-0.81075
  83	-0.79958
  84	-0.80574
  85	-0.80131
  86	-0.78169
  87	-0.78414
  88	-0.79543
