**********************EINDRUCKSTIEFSCHWEISSENDE***********************
*
*Quelle:                 E:\Prozessdaten\MDK1\Testdaten\Output_sv5_4000_testdaten\sv5_4000_testdaten_ALL\
*SCHWEISSBEDINGUNGEN:    3.5kN          600ms     9.2kA     
*SHEET:                  HX340+Z100MB   HX340+Z100MB   4.0mm     
*AUTOR:                  Xiaochuan Lu
*DATUM:                  2020-12-19
*
**********************************************************************

Punktnummer	es
 	[mm]
   1	0.34045
   2	0.05640
   3	0.45649
   4	0.06086
   5	0.30991
   6	0.41293
   7	0.06738
   8	0.05317
   9	0.01131
  10	-0.03303
  11	-0.01628
  12	-0.02942
  13	-0.08429
  14	0.00724
  15	-0.03829
  16	0.00563
  17	0.11232
  18	0.10034
  19	0.11896
  20	0.10511
  21	0.10368
  22	0.09449
  23	0.08880
  24	0.05745
  25	0.03676
  26	0.01695
  27	-0.04917
  28	-0.04889
  29	-0.00218
  30	-0.01378
  31	-0.03897
  32	-0.04192
  33	0.32869
  34	0.23295
  35	0.20977
  36	0.11228
  37	0.13040
  38	0.05473
  39	0.09679
  40	0.10913
  41	0.07328
  42	-0.00324
  43	0.00120
  44	-0.03855
  45	-0.00468
  46	-0.08081
  47	-0.06097
  48	0.03102
  49	0.30914
  50	0.28871
  51	0.24873
  52	0.20885
  53	0.18411
  54	0.10237
  55	0.14306
  56	0.16251
  57	0.34102
  58	0.19466
  59	0.31435
  60	0.18652
  61	0.22231
  62	0.09279
  63	0.14161
  64	0.24612
  65	0.35684
  66	0.33207
  67	0.32696
  68	0.31444
  69	0.34027
  70	0.28650
  71	0.26639
  72	0.27248
  73	0.37710
  74	0.39254
  75	0.34144
  76	0.36002
  77	0.43534
  78	0.41949
  79	0.31477
  80	0.32625
  81	0.26714
  82	0.21284
  83	0.16710
  84	0.18210
  85	0.20975
  86	0.14498
  87	0.12243
  88	0.20847
