***********************EINDRUCKSTIEFPROZESSENDE***********************
*
*Quelle:                 E:\Prozessdaten\MDK1\Testdaten\Output_sv5_4000_testdaten\sv5_4000_testdaten_ALL\
*SCHWEISSBEDINGUNGEN:    3.5kN          600ms     9.2kA     
*SHEET:                  HX340+Z100MB   HX340+Z100MB   4.0mm     
*AUTOR:                  Xiaochuan Lu
*DATUM:                  2020-12-19
*
**********************************************************************

Punktnummer	ep
 	[mm]
   1	0.46583
   2	0.25794
   3	0.52964
   4	0.25007
   5	0.39883
   6	0.51525
   7	0.24199
   8	0.20293
   9	0.07997
  10	0.15438
  11	0.05958
  12	0.07602
  13	-0.03282
  14	0.04304
  15	0.05538
  16	0.08219
  17	0.05487
  18	0.09137
  19	0.06233
  20	0.13827
  21	0.11449
  22	0.06337
  23	0.07699
  24	0.00919
  25	-0.06751
  26	0.00046
  27	-0.02184
  28	-0.05500
  29	-0.01444
  30	-0.03040
  31	-0.03049
  32	-0.09933
  33	0.30885
  34	0.17958
  35	0.13667
  36	-0.01280
  37	0.04033
  38	-0.03531
  39	0.00728
  40	-0.01280
  41	-0.03462
  42	-0.06537
  43	-0.01384
  44	-0.00790
  45	0.03405
  46	-0.04799
  47	-0.04334
  48	-0.05457
  49	0.27900
  50	0.25510
  51	0.15198
  52	0.08157
  53	0.07086
  54	-0.01440
  55	0.01483
  56	0.05398
  57	0.29592
  58	0.11722
  59	0.27331
  60	0.10672
  61	0.11235
  62	-0.00453
  63	0.03601
  64	0.16780
  65	0.28370
  66	0.28332
  67	0.23375
  68	0.27813
  69	0.29923
  70	0.24055
  71	0.24002
  72	0.23816
  73	0.35333
  74	0.35074
  75	0.28827
  76	0.34839
  77	0.40016
  78	0.39207
  79	0.30025
  80	0.27566
  81	0.24398
  82	0.11682
  83	0.08156
  84	0.05058
  85	0.12292
  86	0.01593
  87	-0.00133
  88	0.06142
