****************************KRAFTGRADIENT1****************************
*
*Quelle:                 E:\Prozessdaten\MDK1\Testdaten\Output_sv5_4000_testdaten\sv5_4000_testdaten_ALL\
*SCHWEISSBEDINGUNGEN:    3.5kN          600ms     9.2kA     
*SHEET:                  HX340+Z100MB   HX340+Z100MB   4.0mm     
*AUTOR:                  Xiaochuan Lu
*DATUM:                  2020-12-19
*
**********************************************************************

Punktnummer	s1
 	[kN/s]
   1	2.03172
   2	2.32331
   3	1.91255
   4	2.32594
   5	2.06640
   6	2.24533
   7	2.21898
   8	2.03524
   9	1.58303
  10	1.92771
  11	1.81120
  12	1.89940
  13	1.76976
  14	1.55897
  15	1.63455
  16	1.55097
  17	1.40180
  18	1.46164
  19	1.70110
  20	1.75538
  21	1.84227
  22	1.73235
  23	1.78168
  24	1.57112
  25	0.96369
  26	1.79995
  27	1.92992
  28	1.72779
  29	1.77418
  30	1.78261
  31	1.81181
  32	1.63069
  33	0.68788
  34	0.74122
  35	0.74583
  36	1.03120
  37	1.24004
  38	1.48615
  39	1.56273
  40	1.15902
  41	1.27338
  42	1.37091
  43	1.38905
  44	1.77539
  45	1.88376
  46	1.36287
  47	1.87657
  48	1.18760
  49	0.67348
  50	0.71983
  51	0.92806
  52	1.04088
  53	1.16122
  54	1.39615
  55	1.09612
  56	1.18420
  57	0.60965
  58	0.93390
  59	0.73643
  60	0.94268
  61	0.81429
  62	1.37452
  63	0.90775
  64	0.75365
  65	0.63787
  66	0.69551
  67	0.67363
  68	0.64375
  69	0.64476
  70	0.64440
  71	0.61028
  72	0.66889
  73	0.64856
  74	0.68606
  75	0.65711
  76	0.65676
  77	0.65930
  78	0.63998
  79	0.63559
  80	0.67724
  81	0.69585
  82	0.88276
  83	0.98503
  84	1.12523
  85	0.89178
  86	1.30676
  87	1.41725
  88	1.06230
