***************************GES.WAERMEMENGE****************************
*
*Quelle:                 E:\Prozessdaten\MDK1\Testdaten\Output_sv5_4000_testdaten\sv5_4000_testdaten_ALL\
*SCHWEISSBEDINGUNGEN:    3.5kN          600ms     9.2kA     
*SHEET:                  HX340+Z100MB   HX340+Z100MB   4.0mm     
*AUTOR:                  Xiaochuan Lu
*DATUM:                  2020-12-19
*
**********************************************************************

Punktnummer	Qges
 	[kJ]
   1	9.00620
   2	9.33241
   3	8.84885
   4	10.24430
   5	8.95534
   6	9.00347
   7	9.48110
   8	9.49987
   9	8.84564
  10	8.96535
  11	9.04564
  12	9.19821
  13	9.90846
  14	9.22080
  15	8.93178
  16	9.07825
  17	8.65852
  18	8.84399
  19	9.04540
  20	9.10532
  21	9.09071
  22	9.16006
  23	9.14826
  24	9.12436
  25	8.05596
  26	8.88168
  27	9.09550
  28	9.05024
  29	9.00064
  30	8.96807
  31	9.02628
  32	8.94696
  33	5.97655
  34	6.32772
  35	6.28655
  36	7.24099
  37	7.62083
  38	8.07586
  39	8.34868
  40	8.02098
  41	7.97743
  42	8.27045
  43	8.82383
  44	9.01397
  45	9.06801
  46	8.89537
  47	9.18607
  48	8.48861
  49	5.85464
  50	5.98222
  51	6.67579
  52	7.81156
  53	8.10816
  54	7.94465
  55	7.55167
  56	8.22266
  57	5.79585
  58	6.75767
  59	6.08308
  60	7.45592
  61	6.66568
  62	8.09244
  63	7.20162
  64	6.57458
  65	5.66135
  66	5.79037
  67	5.65802
  68	5.52925
  69	5.63530
  70	5.58833
  71	5.49246
  72	5.85623
  73	5.63518
  74	5.92749
  75	5.85902
  76	5.49619
  77	5.62667
  78	5.63669
  79	5.58296
  80	5.82309
  81	6.20456
  82	6.97847
  83	7.15735
  84	7.53785
  85	7.16345
  86	8.04916
  87	9.15869
  88	7.56405
