*****************************MAXLEISTUNG******************************
*
*Quelle:                 E:\Prozessdaten\MDK1\Testdaten\Output_sv5_4000_testdaten\sv5_4000_testdaten_ALL\
*SCHWEISSBEDINGUNGEN:    3.5kN          600ms     9.2kA     
*SHEET:                  HX340+Z100MB   HX340+Z100MB   4.0mm     
*AUTOR:                  Xiaochuan Lu
*DATUM:                  2020-12-19
*
**********************************************************************

Punktnummer	Pmax
 	[kW]
   1	17.86386
   2	18.16583
   3	17.66962
   4	19.33475
   5	17.65800
   6	17.76850
   7	18.00979
   8	17.51540
   9	16.02936
  10	16.40423
  11	16.22541
  12	16.97433
  13	17.55156
  14	16.90194
  15	16.18400
  16	16.32825
  17	15.98977
  18	16.13558
  19	16.77033
  20	16.92417
  21	16.94021
  22	16.77878
  23	16.93161
  24	17.16590
  25	15.70150
  26	16.21505
  27	16.81650
  28	16.51922
  29	16.49183
  30	16.52172
  31	16.36155
  32	16.30310
  33	10.64563
  34	11.78105
  35	11.70022
  36	13.58058
  37	14.59340
  38	15.28414
  39	15.48732
  40	15.07514
  41	15.34244
  42	15.13454
  43	16.33711
  44	16.12510
  45	17.14316
  46	16.23652
  47	17.01520
  48	15.94855
  49	10.13916
  50	10.77983
  51	12.91269
  52	15.05863
  53	15.65838
  54	14.81655
  55	14.21886
  56	15.31266
  57	9.93206
  58	13.16216
  59	10.79865
  60	14.29578
  61	12.58219
  62	14.92100
  63	13.13469
  64	11.78477
  65	9.82926
  66	9.89519
  67	9.49449
  68	9.50755
  69	9.49304
  70	9.45928
  71	9.64078
  72	10.05485
  73	9.97798
  74	10.40093
  75	10.18970
  76	9.54030
  77	9.71545
  78	9.83768
  79	9.73941
  80	10.05059
  81	11.08904
  82	13.45585
  83	13.08946
  84	14.42221
  85	13.23722
  86	15.20823
  87	16.83596
  88	13.94066
