********************************DRUCK*********************************
*
*Quelle:                 E:\Prozessdaten\MDK1\Testdaten\Output_sv5_4000_testdaten\sv5_4000_testdaten_ALL\
*SCHWEISSBEDINGUNGEN:    3.5kN          600ms     9.2kA     
*SHEET:                  HX340+Z100MB   HX340+Z100MB   4.0mm     
*AUTOR:                  Xiaochuan Lu
*DATUM:                  2020-12-19
*
**********************************************************************

Punktnummer	Press
 	[N/mm^2]
   1	132.35434
   2	137.18543
   3	120.28531
   4	141.30676
   5	118.52916
   6	123.12404
   7	140.22538
   8	139.70689
   9	128.59810
  10	121.15301
  11	126.50217
  12	132.21715
  13	132.01822
  14	129.35522
  15	131.59826
  16	135.28203
  17	103.26524
  18	101.43550
  19	102.96935
  20	103.18315
  21	102.68068
  22	103.68845
  23	105.23793
  24	107.19544
  25	84.37046
  26	84.99464
  27	87.06259
  28	85.85454
  29	86.21005
  30	85.30734
  31	87.46816
  32	87.40969
  33	73.76547
  34	73.74203
  35	74.34322
  36	77.13009
  37	75.92672
  38	78.01011
  39	77.55327
  40	78.54666
  41	66.64555
  42	65.99907
  43	68.59191
  44	68.94642
  45	68.29541
  46	69.20725
  47	70.32059
  48	68.11657
  49	66.33865
  50	66.94883
  51	67.28714
  52	68.40933
  53	69.18422
  54	70.25933
  55	69.54890
  56	69.23200
  57	64.55446
  58	66.84900
  59	64.02317
  60	65.88218
  61	65.88078
  62	67.99148
  63	66.33336
  64	65.40898
  65	66.52132
  66	66.01690
  67	66.48970
  68	66.07823
  69	66.17683
  70	66.55965
  71	65.69184
  72	67.39973
  73	66.16239
  74	65.06193
  75	65.29892
  76	64.78072
  77	65.57701
  78	65.96125
  79	65.53481
  80	66.88095
  81	59.82689
  82	59.90532
  83	60.27167
  84	60.24686
  85	60.14512
  86	61.48442
  87	61.49018
  88	60.62724
