***********************LEISTUNGSABFALLGESCHWIN************************
*
*Quelle:                 E:\Prozessdaten\MDK1\Testdaten\Output_sv5_4000_testdaten\sv5_4000_testdaten_ALL\
*SCHWEISSBEDINGUNGEN:    3.5kN          600ms     9.2kA     
*SHEET:                  HX340+Z100MB   HX340+Z100MB   4.0mm     
*AUTOR:                  Xiaochuan Lu
*DATUM:                  2020-12-19
*
**********************************************************************

Punktnummer	Pv
 	[kw/s]
   1	9.19196
   2	13.13227
   3	10.29538
   4	12.59008
   5	12.88298
   6	12.95705
   7	11.84102
   8	10.83191
   9	9.30833
  10	10.28430
  11	9.39474
  12	10.38885
  13	7.75100
  14	12.81724
  15	10.83073
  16	9.80454
  17	10.44966
  18	9.90737
  19	10.79372
  20	11.20064
  21	11.05542
  22	10.96049
  23	11.28228
  24	14.00627
  25	20.67628
  26	10.12011
  27	10.74925
  28	10.76618
  29	10.84073
  30	11.22583
  31	8.78186
  32	11.51090
  33	41.99410
  34	32.24686
  35	39.48314
  36	35.92593
  37	42.60982
  38	17.52794
  39	7.71276
  40	14.09129
  41	10.12705
  42	8.70167
  43	11.40014
  44	9.65955
  45	12.20256
  46	10.93872
  47	11.42430
  48	10.91094
  49	1.18137
  50	33.16168
  51	34.27289
  52	27.71613
  53	59.24983
  54	8.26556
  55	32.19788
  56	26.14101
  57	0.77455
  58	44.26471
  59	30.88905
  60	35.00572
  61	29.86104
  62	7.89310
  63	12.34350
  64	32.03630
  65	1.34207
  66	17.07744
  67	0.83200
  68	1.30696
  69	0.68205
  70	1.02648
  71	1.67951
  72	0.97799
  73	1.76427
  74	19.80482
  75	22.00313
  76	1.65096
  77	1.20156
  78	1.82629
  79	1.64478
  80	1.29846
  81	38.61744
  82	50.58311
  83	32.89133
  84	34.90255
  85	22.65089
  86	6.81173
  87	7.21203
  88	33.47859
