**********************ERWAERMUNGSGESCHWINDIGKEIT**********************
*
*Quelle:                 E:\Prozessdaten\MDK1\Testdaten\Output_sv5_4000_testdaten\sv5_4000_testdaten_ALL\
*SCHWEISSBEDINGUNGEN:    3.5kN          600ms     9.2kA     
*SHEET:                  HX340+Z100MB   HX340+Z100MB   4.0mm     
*AUTOR:                  Xiaochuan Lu
*DATUM:                  2020-12-19
*
**********************************************************************

Punktnummer	Qpdot
 	[kJ/s]
   1	17.12994
   2	17.11868
   3	16.84958
   4	18.63033
   5	16.92829
   6	17.15491
   7	17.14823
   8	16.94846
   9	14.29881
  10	14.96006
  11	15.21551
  12	15.73673
  13	16.57052
  14	15.48046
  15	14.27674
  16	14.97173
  17	13.44609
  18	14.25594
  19	15.20426
  20	15.24236
  21	15.06795
  22	15.42979
  23	15.21970
  24	14.84176
  25	11.99191
  26	14.71936
  27	15.38500
  28	15.26156
  29	14.85849
  30	14.61670
  31	14.89519
  32	14.34480
  33	9.72236
  34	10.04783
  35	9.99149
  36	11.11565
  37	11.54782
  38	12.32667
  39	12.79281
  40	12.22425
  41	12.00026
  42	12.82288
  43	14.19765
  44	14.80713
  45	15.25219
  46	14.15587
  47	15.21946
  48	12.96656
  49	9.77695
  50	9.71135
  51	10.26213
  52	11.81350
  53	12.23478
  54	12.11240
  55	11.58752
  56	12.62634
  57	9.62495
  58	10.31698
  59	9.84246
  60	11.46828
  61	10.42814
  62	12.44340
  63	11.42212
  64	10.81265
  65	9.47663
  66	9.49401
  67	9.39707
  68	9.24248
  69	9.36024
  70	9.33555
  71	9.26260
  72	9.72160
  73	9.49839
  74	9.60683
  75	9.54098
  76	9.24440
  77	9.37816
  78	9.51929
  79	9.38845
  80	9.74483
  81	10.04926
  82	10.66513
  83	11.11482
  84	11.51995
  85	11.38992
  86	12.23941
  87	14.15298
  88	11.75525
