****************************WAEMEBEDEUTUNG****************************
*
*Quelle:                 E:\Prozessdaten\MDK1\Testdaten\Output_sv5_4000_testdaten\sv5_4000_testdaten_ALL\
*SCHWEISSBEDINGUNGEN:    3.5kN          600ms     9.2kA     
*SHEET:                  HX340+Z100MB   HX340+Z100MB   4.0mm     
*AUTOR:                  Xiaochuan Lu
*DATUM:                  2020-12-19
*
**********************************************************************

Punktnummer	Qsfg
 	J
   1	353.02874
   2	363.49298
   3	342.28926
   4	387.67412
   5	351.92327
   6	356.18861
   7	360.86597
   8	349.49970
   9	299.24458
  10	319.28429
  11	320.41547
  12	334.52308
  13	351.99313
  14	316.93219
  15	293.22980
  16	314.98703
  17	281.94520
  18	303.10797
  19	327.31180
  20	331.77186
  21	320.83755
  22	331.45746
  23	329.36312
  24	315.83349
  25	236.54521
  26	320.76932
  27	332.34695
  28	327.16988
  29	319.59203
  30	308.04005
  31	321.71738
  32	284.21510
  33	192.88651
  34	199.52914
  35	199.70875
  36	221.84210
  37	236.33656
  38	258.32258
  39	261.65051
  40	239.08531
  41	243.59416
  42	269.44832
  43	305.42616
  44	317.42407
  45	323.78545
  46	280.30188
  47	328.32529
  48	252.56920
  49	193.58538
  50	192.93969
  51	205.82399
  52	235.31785
  53	244.32290
  54	247.68350
  55	226.29824
  56	244.46541
  57	190.87988
  58	203.57861
  59	196.90377
  60	230.23599
  61	208.54675
  62	261.65160
  63	231.19199
  64	230.11811
  65	187.47128
  66	190.78519
  67	188.43067
  68	184.21842
  69	187.13218
  70	187.17000
  71	183.22533
  72	192.67896
  73	187.57895
  74	191.02296
  75	190.38735
  76	183.54005
  77	186.68091
  78	188.73068
  79	185.42184
  80	193.72370
  81	199.37513
  82	213.40704
  83	222.80132
  84	234.92831
  85	219.83573
  86	241.47180
  87	292.78201
  88	229.75313
