*****************************WIDERSTAND90*****************************
*
*Quelle:                 E:\Prozessdaten\MDK1\Testdaten\Output_sv5_4000_testdaten\sv5_4000_testdaten_ALL\
*SCHWEISSBEDINGUNGEN:    3.5kN          600ms     9.2kA     
*SHEET:                  HX340+Z100MB   HX340+Z100MB   4.0mm     
*AUTOR:                  Xiaochuan Lu
*DATUM:                  2020-12-19
*
**********************************************************************

Punktnummer	R90
 	[mohm]
   1	0.14372
   2	0.14629
   3	0.13460
   4	0.13537
   5	0.14173
   6	0.13925
   7	0.14719
   8	0.14773
   9	0.15215
  10	0.14807
  11	0.14891
  12	0.14929
  13	0.13907
  14	0.15049
  15	0.15413
  16	0.15117
  17	0.15829
  18	0.15167
  19	0.14826
  20	0.14880
  21	0.15053
  22	0.14930
  23	0.15054
  24	0.15199
  25	0.16573
  26	0.14681
  27	0.14684
  28	0.14655
  29	0.14854
  30	0.14988
  31	0.14940
  32	0.15246
  33	0.11411
  34	0.12604
  35	0.12512
  36	0.14544
  37	0.15566
  38	0.16226
  39	0.16046
  40	0.16097
  41	0.16347
  42	0.16024
  43	0.14934
  44	0.15026
  45	0.14706
  46	0.15366
  47	0.15038
  48	0.16174
  49	0.10561
  50	0.11564
  51	0.13845
  52	0.13704
  53	0.14241
  54	0.15818
  55	0.15252
  56	0.13943
  57	0.10578
  58	0.14100
  59	0.11583
  60	0.12882
  61	0.13450
  62	0.15675
  63	0.14119
  64	0.12622
  65	0.10143
  66	0.10630
  67	0.10145
  68	0.09850
  69	0.10162
  70	0.09958
  71	0.09691
  72	0.10583
  73	0.09968
  74	0.11197
  75	0.10968
  76	0.09681
  77	0.10126
  78	0.09891
  79	0.09889
  80	0.10430
  81	0.11941
  82	0.14476
  83	0.14074
  84	0.15427
  85	0.14215
  86	0.16330
  87	0.14674
  88	0.15001
