****************************KRAFTAENDERUNG****************************
*
*Quelle:                 E:\Prozessdaten\MDK1\Testdaten\Output_sv5_4000_testdaten\sv5_4000_testdaten_ALL\
*SCHWEISSBEDINGUNGEN:    3.5kN          600ms     9.2kA     
*SHEET:                  HX340+Z100MB   HX340+Z100MB   4.0mm     
*AUTOR:                  Xiaochuan Lu
*DATUM:                  2020-12-19
*
**********************************************************************

Punktnummer	Delta_F
 	[kN]
   1	0.76434
   2	0.49333
   3	0.95188
   4	0.49461
   5	0.86637
   6	0.95619
   7	0.49454
   8	0.49037
   9	0.46248
  10	0.48095
  11	0.46823
  12	0.49008
  13	0.47497
  14	0.49299
  15	0.48903
  16	0.48657
  17	0.46161
  18	0.49377
  19	0.50295
  20	0.51812
  21	0.53080
  22	0.49741
  23	0.52677
  24	0.53231
  25	0.48903
  26	0.50418
  27	0.51440
  28	0.50044
  29	0.51476
  30	0.52077
  31	0.51477
  32	0.50587
  33	0.40952
  34	0.41113
  35	0.43016
  36	0.47363
  37	0.49174
  38	0.49313
  39	0.50362
  40	0.49277
  41	0.48004
  42	0.47277
  43	0.49993
  44	0.51422
  45	0.52480
  46	0.50760
  47	0.53221
  48	0.50848
  49	0.40162
  50	0.43286
  51	0.46026
  52	0.52751
  53	0.47834
  54	0.49619
  55	0.47759
  56	0.48426
  57	0.36661
  58	0.44956
  59	0.42622
  60	0.45409
  61	0.45248
  62	0.46298
  63	0.44381
  64	0.44261
  65	0.38102
  66	0.40882
  67	0.40720
  68	0.38486
  69	0.38975
  70	0.38954
  71	0.36515
  72	0.40429
  73	0.38448
  74	0.41255
  75	0.39515
  76	0.38868
  77	0.39515
  78	0.38486
  79	0.38221
  80	0.40590
  81	0.41809
  82	0.43868
  83	0.46824
  84	0.47954
  85	0.47000
  86	0.48738
  87	0.48211
  88	0.47298
