*************************LEISTUNGSSCHWANKUNG**************************
*
*Quelle:                 E:\Prozessdaten\MDK1\Testdaten\Output_sv5_4000_testdaten\sv5_4000_testdaten_ALL\
*SCHWEISSBEDINGUNGEN:    3.5kN          600ms     9.2kA     
*SHEET:                  HX340+Z100MB   HX340+Z100MB   4.0mm     
*AUTOR:                  Xiaochuan Lu
*DATUM:                  2020-12-19
*
**********************************************************************

Punktnummer	delta_P
 	[kW]
   1	5.19493
   2	5.27313
   3	5.83398
   4	5.21960
   5	4.99190
   6	5.20925
   7	4.74256
   8	4.27871
   9	2.38740
  10	3.17456
  11	2.83392
  12	3.55091
  13	3.03436
  14	3.39682
  15	2.40810
  16	2.74596
  17	1.90393
  18	2.64537
  19	3.46727
  20	3.55844
  21	3.52911
  22	3.46023
  23	3.49965
  24	3.55017
  25	0.91327
  26	3.05779
  27	3.66883
  28	3.33407
  29	3.16127
  30	3.16647
  31	3.05890
  32	2.64026
  33	0.37921
  34	0.42082
  35	0.41615
  36	0.41459
  37	0.44911
  38	0.77421
  39	1.14966
  40	0.58000
  41	0.68104
  42	0.84293
  43	2.98114
  44	2.62769
  45	4.01159
  46	2.57486
  47	3.52645
  48	1.56616
  49	0.66049
  50	0.36610
  51	0.44726
  52	0.55626
  53	0.47518
  54	0.57247
  55	0.46880
  56	0.57719
  57	0.41633
  58	0.44442
  59	0.35646
  60	0.50933
  61	0.35983
  62	0.93888
  63	0.47695
  64	0.40174
  65	0.75439
  66	0.42011
  67	0.44639
  68	0.71761
  69	0.37038
  70	0.55330
  71	0.94323
  72	0.54679
  73	1.02183
  74	0.36758
  75	0.36437
  76	0.91643
  77	0.67904
  78	1.01558
  79	0.91547
  80	0.71946
  81	0.36802
  82	0.45727
  83	0.47890
  84	0.45548
  85	0.53433
  86	0.53670
  87	0.90129
  88	0.50385
