****************************ZEITDIFFERENZ*****************************
*
*Quelle:                 E:\Prozessdaten\MDK1\Testdaten\Output_sv5_4000_testdaten\sv5_4000_testdaten_ALL\
*SCHWEISSBEDINGUNGEN:    3.5kN          600ms     9.2kA     
*SHEET:                  HX340+Z100MB   HX340+Z100MB   4.0mm     
*AUTOR:                  Xiaochuan Lu
*DATUM:                  2020-12-19
*
**********************************************************************

Punktnummer	Delta_t%50
 	[s]
   1	0.03919
   2	0.02948
   3	0.03951
   4	0.02755
   5	0.03757
   6	0.03967
   7	0.02561
   8	0.02181
   9	-0.00726
  10	0.00242
  11	0.00481
  12	0.00980
  13	0.00350
  14	0.00424
  15	-0.01076
  16	-0.00113
  17	-0.01993
  18	-0.00814
  19	0.00460
  20	0.00338
  21	0.00039
  22	0.00522
  23	0.00152
  24	-0.00534
  25	-0.03389
  26	0.00037
  27	0.00648
  28	0.00557
  29	-0.00081
  30	-0.00472
  31	-0.00093
  32	-0.00981
  33	-0.00518
  34	-0.01274
  35	-0.01245
  36	-0.02363
  37	-0.02795
  38	-0.02556
  39	-0.02429
  40	-0.02605
  41	-0.03038
  42	-0.02047
  43	-0.00869
  44	-0.00233
  45	0.00479
  46	-0.01215
  47	0.00026
  48	-0.02530
  49	0.00281
  50	-0.00583
  51	-0.02318
  52	-0.02814
  53	-0.02891
  54	-0.02593
  55	-0.02381
  56	-0.02315
  57	0.00114
  58	-0.02543
  59	-0.00685
  60	-0.02254
  61	-0.01750
  62	-0.02313
  63	-0.01317
  64	-0.00190
  65	0.00355
  66	-0.00273
  67	0.00119
  68	0.00313
  69	0.00122
  70	0.00295
  71	0.00579
  72	0.00101
  73	0.00561
  74	-0.00631
  75	-0.00485
  76	0.00501
  77	0.00226
  78	0.00619
  79	0.00494
  80	0.00345
  81	-0.00656
  82	-0.02512
  83	-0.01991
  84	-0.02514
  85	-0.01240
  86	-0.02682
  87	-0.02106
  88	-0.01968
