***************************SPEZIWIDERSTAND****************************
*
*Quelle:                 E:\Prozessdaten\MDK1\Testdaten\Output_sv5_4000_testdaten\sv5_4000_testdaten_ALL\
*SCHWEISSBEDINGUNGEN:    3.5kN          600ms     9.2kA     
*SHEET:                  HX340+Z100MB   HX340+Z100MB   4.0mm     
*AUTOR:                  Xiaochuan Lu
*DATUM:                  2020-12-19
*
**********************************************************************

Punktnummer	rho
 	[mohm*mm^2/mm]
   1	1.33709
   2	1.30944
   3	1.43951
   4	1.15334
   5	1.43741
   6	1.40476
   7	1.24996
   8	1.25197
   9	1.05065
  10	1.12480
  11	1.15216
  12	1.09378
  13	1.03741
  14	1.20463
  15	1.08397
  16	1.07986
  17	1.16392
  18	1.25543
  19	1.31089
  20	1.32443
  21	1.34837
  22	1.37216
  23	1.34277
  24	1.30094
  25	1.37168
  26	1.50598
  27	1.61862
  28	1.64305
  29	1.62790
  30	1.64954
  31	1.61334
  32	1.60922
  33	1.40057
  34	1.43733
  35	1.38894
  36	1.41842
  37	1.45319
  38	1.45339
  39	1.55437
  40	1.56615
  41	1.72317
  42	1.77276
  43	1.80900
  44	2.00051
  45	2.04258
  46	2.04948
  47	2.01376
  48	1.94981
  49	1.57352
  50	1.52430
  51	1.55012
  52	1.46187
  53	1.48437
  54	1.62444
  55	1.68797
  56	1.62850
  57	1.57753
  58	1.58663
  59	1.60280
  60	1.47171
  61	1.63577
  62	1.68006
  63	1.82911
  64	1.70724
  65	1.52712
  66	1.49205
  67	1.46749
  68	1.46859
  69	1.46825
  70	1.45294
  71	1.50320
  72	1.52788
  73	1.54555
  74	1.55602
  75	1.53964
  76	1.51207
  77	1.51352
  78	1.53202
  79	1.52639
  80	1.54007
  81	1.76593
  82	1.77249
  83	1.82816
  84	1.83989
  85	2.03368
  86	1.98418
  87	1.88445
  88	2.06453
