*******************************VALLEYID*******************************
*
*Quelle:                 E:\Prozessdaten\MDK1\Testdaten\Output_sv5_4000_testdaten\sv5_4000_testdaten_ALL\
*SCHWEISSBEDINGUNGEN:    3.5kN          600ms     9.2kA     
*SHEET:                  HX340+Z100MB   HX340+Z100MB   4.0mm     
*AUTOR:                  Xiaochuan Lu
*DATUM:                  2020-12-19
*
**********************************************************************

time	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	
0.000000	70296.000000	71565.000000	70726.000000	71160.000000	70938.000000	70960.000000	71022.000000	70598.000000	71382.000000	70821.000000	72370.000000	72677.000000	72544.000000	71806.000000	72757.000000	72638.000000	73407.000000	73666.000000	73869.000000	74153.000000	74132.000000	74363.000000	74158.000000	74413.000000	72945.000000	72791.000000	72540.000000	72977.000000	72340.000000	73546.000000	72863.000000	72854.000000	72716.000000	73265.000000	73774.000000	72952.000000	73103.000000	73034.000000	73304.000000	73259.000000	74188.000000	74286.000000	73560.000000	75597.000000	75677.000000	75859.000000	75720.000000	75386.000000	74190.000000	73856.000000	74636.000000	74564.000000	73790.000000	74237.000000	74604.000000	74154.000000	74550.000000	74077.000000	73851.000000	73994.000000	74519.000000	73639.000000	74366.000000	74712.000000	74562.000000	74336.000000	74446.000000	74243.000000	74457.000000	73984.000000	74292.000000	74226.000000	74823.000000	74461.000000	74374.000000	74511.000000	74505.000000	74517.000000	74750.000000	74681.000000	75058.000000	76316.000000	75281.000000	75499.000000	75147.000000	75017.000000	75214.000000	75187.000000	
0.000010	70342.000000	71612.000000	70772.000000	71187.000000	70984.000000	71006.000000	71068.000000	70644.000000	71429.000000	70868.000000	72416.000000	72724.000000	72572.000000	71852.000000	72804.000000	72684.000000	73454.000000	73712.000000	73916.000000	74200.000000	74177.000000	74410.000000	74205.000000	74459.000000	72991.000000	72838.000000	72586.000000	73024.000000	72387.000000	73592.000000	72909.000000	72901.000000	72763.000000	73311.000000	73821.000000	72999.000000	73149.000000	73081.000000	73350.000000	73306.000000	74234.000000	74333.000000	73607.000000	75644.000000	75723.000000	75906.000000	75765.000000	75433.000000	74236.000000	73903.000000	74683.000000	74591.000000	73817.000000	74284.000000	74651.000000	74182.000000	74596.000000	74123.000000	73898.000000	74022.000000	74566.000000	73686.000000	74413.000000	74759.000000	74608.000000	74383.000000	74493.000000	74289.000000	74504.000000	74031.000000	74338.000000	74272.000000	74870.000000	74507.000000	74420.000000	74558.000000	74552.000000	74564.000000	74797.000000	74728.000000	75104.000000	76362.000000	75328.000000	75544.000000	75193.000000	75064.000000	75243.000000	75234.000000	
0.000020	70393.000000	71662.000000	70823.000000	71238.000000	71035.000000	71057.000000	71118.000000	70695.000000	71480.000000	70918.000000	72467.000000	72775.000000	72622.000000	71903.000000	72854.000000	72734.000000	73504.000000	73763.000000	73966.000000	74250.000000	74229.000000	74460.000000	74256.000000	74510.000000	73042.000000	72889.000000	72637.000000	73075.000000	72437.000000	73643.000000	72960.000000	72951.000000	72814.000000	73362.000000	73872.000000	73050.000000	73200.000000	73132.000000	73400.000000	73356.000000	74285.000000	74383.000000	73658.000000	75694.000000	75774.000000	75957.000000	75817.000000	75484.000000	74287.000000	73953.000000	74734.000000	74642.000000	73868.000000	74335.000000	74702.000000	74233.000000	74647.000000	74174.000000	73949.000000	74072.000000	74617.000000	73737.000000	74464.000000	74810.000000	74659.000000	74434.000000	74543.000000	74340.000000	74554.000000	74082.000000	74389.000000	74323.000000	74920.000000	74558.000000	74471.000000	74608.000000	74603.000000	74615.000000	74847.000000	74778.000000	75155.000000	76413.000000	75378.000000	75596.000000	75244.000000	75114.000000	75294.000000	75285.000000	
0.000030	70452.000000	71722.000000	70883.000000	71289.000000	71094.000000	71116.000000	71177.000000	70754.000000	71539.000000	70979.000000	72527.000000	72834.000000	72673.000000	71962.000000	72913.000000	72794.000000	73564.000000	73823.000000	74026.000000	74310.000000	74288.000000	74520.000000	74315.000000	74569.000000	73101.000000	72949.000000	72696.000000	73134.000000	72497.000000	73702.000000	73019.000000	73010.000000	72874.000000	73422.000000	73932.000000	73110.000000	73260.000000	73191.000000	73460.000000	73416.000000	74344.000000	74443.000000	73717.000000	75754.000000	75834.000000	76016.000000	75876.000000	75543.000000	74347.000000	74013.000000	74794.000000	74693.000000	73919.000000	74394.000000	74762.000000	74284.000000	74707.000000	74234.000000	74009.000000	74123.000000	74677.000000	73797.000000	74524.000000	74869.000000	74718.000000	74494.000000	74604.000000	74400.000000	74614.000000	74142.000000	74449.000000	74383.000000	74980.000000	74618.000000	74531.000000	74669.000000	74663.000000	74675.000000	74907.000000	74839.000000	75214.000000	76473.000000	75439.000000	75656.000000	75304.000000	75174.000000	75344.000000	75344.000000	
0.000040	70503.000000	71772.000000	70933.000000	71347.000000	71144.000000	71166.000000	71227.000000	70804.000000	71590.000000	71029.000000	72577.000000	72885.000000	72733.000000	72012.000000	72964.000000	72844.000000	73614.000000	73873.000000	74076.000000	74360.000000	74339.000000	74570.000000	74365.000000	74619.000000	73152.000000	72999.000000	72746.000000	73185.000000	72547.000000	73753.000000	73070.000000	73061.000000	72924.000000	73472.000000	73982.000000	73161.000000	73310.000000	73242.000000	73511.000000	73466.000000	74394.000000	74494.000000	73768.000000	75805.000000	75884.000000	76066.000000	75926.000000	75593.000000	74397.000000	74064.000000	74844.000000	74753.000000	73979.000000	74444.000000	74812.000000	74343.000000	74757.000000	74284.000000	74059.000000	74183.000000	74727.000000	73847.000000	74574.000000	74920.000000	74769.000000	74544.000000	74654.000000	74451.000000	74665.000000	74192.000000	74500.000000	74433.000000	75030.000000	74669.000000	74582.000000	74719.000000	74713.000000	74725.000000	74958.000000	74889.000000	75265.000000	76523.000000	75489.000000	75706.000000	75354.000000	75224.000000	75404.000000	75395.000000	
0.000050	70555.000000	71825.000000	70986.000000	71398.000000	71197.000000	71219.000000	71280.000000	70857.000000	71643.000000	71082.000000	72630.000000	72937.000000	72783.000000	72065.000000	73016.000000	72897.000000	73667.000000	73927.000000	74129.000000	74413.000000	74391.000000	74623.000000	74418.000000	74672.000000	73205.000000	73052.000000	72799.000000	73238.000000	72600.000000	73805.000000	73122.000000	73113.000000	72977.000000	73526.000000	74036.000000	73214.000000	73363.000000	73295.000000	73564.000000	73519.000000	74447.000000	74547.000000	73821.000000	75857.000000	75936.000000	76119.000000	75979.000000	75646.000000	74450.000000	74117.000000	74897.000000	74803.000000	74029.000000	74498.000000	74865.000000	74394.000000	74810.000000	74337.000000	74112.000000	74234.000000	74780.000000	73900.000000	74627.000000	74973.000000	74822.000000	74598.000000	74707.000000	74504.000000	74718.000000	74246.000000	74553.000000	74487.000000	75083.000000	74722.000000	74635.000000	74772.000000	74766.000000	74778.000000	75011.000000	74942.000000	75318.000000	76577.000000	75542.000000	75760.000000	75407.000000	75278.000000	75454.000000	75447.000000	
0.000060	70605.000000	71875.000000	71036.000000	71450.000000	71247.000000	71269.000000	71330.000000	70907.000000	71693.000000	71132.000000	72680.000000	72987.000000	72835.000000	72116.000000	73067.000000	72947.000000	73717.000000	73977.000000	74180.000000	74463.000000	74442.000000	74673.000000	74468.000000	74722.000000	73255.000000	73102.000000	72850.000000	73288.000000	72650.000000	73856.000000	73173.000000	73164.000000	73027.000000	73576.000000	74086.000000	73264.000000	73414.000000	73345.000000	73614.000000	73569.000000	74498.000000	74597.000000	73871.000000	75907.000000	75987.000000	76169.000000	76029.000000	75696.000000	74500.000000	74167.000000	74947.000000	74856.000000	74082.000000	74548.000000	74915.000000	74446.000000	74860.000000	74387.000000	74163.000000	74287.000000	74831.000000	73950.000000	74677.000000	75023.000000	74872.000000	74648.000000	74757.000000	74554.000000	74768.000000	74296.000000	74603.000000	74537.000000	75133.000000	74772.000000	74685.000000	74823.000000	74816.000000	74829.000000	75061.000000	74992.000000	75368.000000	76627.000000	75592.000000	75810.000000	75457.000000	75328.000000	75507.000000	75498.000000	
0.000070	70654.000000	71924.000000	71084.000000	71500.000000	71296.000000	71317.000000	71378.000000	70956.000000	71742.000000	71181.000000	72729.000000	73036.000000	72886.000000	72164.000000	73116.000000	72996.000000	73766.000000	74026.000000	74228.000000	74512.000000	74491.000000	74722.000000	74517.000000	74771.000000	73304.000000	73151.000000	72899.000000	73337.000000	72699.000000	73904.000000	73221.000000	73213.000000	73076.000000	73625.000000	74135.000000	73313.000000	73463.000000	73394.000000	73663.000000	73618.000000	74547.000000	74645.000000	73920.000000	75956.000000	76036.000000	76218.000000	76078.000000	75745.000000	74549.000000	74216.000000	74996.000000	74907.000000	74132.000000	74597.000000	74964.000000	74497.000000	74909.000000	74436.000000	74212.000000	74337.000000	74879.000000	73999.000000	74726.000000	75072.000000	74921.000000	74697.000000	74806.000000	74603.000000	74817.000000	74345.000000	74652.000000	74586.000000	75182.000000	74821.000000	74734.000000	74872.000000	74865.000000	74878.000000	75110.000000	75041.000000	75417.000000	76676.000000	75641.000000	75859.000000	75506.000000	75376.000000	75557.000000	75547.000000	
0.000080	70704.000000	71974.000000	71135.000000	71549.000000	71346.000000	71368.000000	71429.000000	71006.000000	71792.000000	71231.000000	72779.000000	73086.000000	72935.000000	72215.000000	73166.000000	73046.000000	73816.000000	74076.000000	74279.000000	74562.000000	74541.000000	74772.000000	74567.000000	74821.000000	73354.000000	73201.000000	72949.000000	73387.000000	72749.000000	73954.000000	73272.000000	73263.000000	73126.000000	73675.000000	74185.000000	73363.000000	73513.000000	73444.000000	73713.000000	73669.000000	74597.000000	74696.000000	73970.000000	76006.000000	76086.000000	76268.000000	76128.000000	75795.000000	74599.000000	74267.000000	75046.000000	74956.000000	74181.000000	74647.000000	75014.000000	74545.000000	74960.000000	74487.000000	74262.000000	74386.000000	74930.000000	74049.000000	74776.000000	75122.000000	74971.000000	74747.000000	74857.000000	74653.000000	74867.000000	74395.000000	74702.000000	74636.000000	75232.000000	74871.000000	74784.000000	74922.000000	74916.000000	74928.000000	75160.000000	75091.000000	75467.000000	76726.000000	75691.000000	75909.000000	75556.000000	75427.000000	75606.000000	75597.000000	
0.000090	70754.000000	72024.000000	71185.000000	71599.000000	71396.000000	71418.000000	71479.000000	71056.000000	71842.000000	71281.000000	72829.000000	73137.000000	72985.000000	72265.000000	73216.000000	73096.000000	73866.000000	74126.000000	74329.000000	74613.000000	74591.000000	74823.000000	74617.000000	74871.000000	73404.000000	73251.000000	72999.000000	73437.000000	72799.000000	74005.000000	73322.000000	73313.000000	73177.000000	73726.000000	74235.000000	73413.000000	73563.000000	73494.000000	73763.000000	73719.000000	74647.000000	74746.000000	74020.000000	76057.000000	76136.000000	76318.000000	76179.000000	75845.000000	74649.000000	74317.000000	75097.000000	75006.000000	74232.000000	74697.000000	75064.000000	74596.000000	75010.000000	74537.000000	74312.000000	74436.000000	74980.000000	74100.000000	74826.000000	75173.000000	75022.000000	74797.000000	74907.000000	74703.000000	74918.000000	74446.000000	74752.000000	74686.000000	75283.000000	74921.000000	74834.000000	74972.000000	74966.000000	74978.000000	75211.000000	75142.000000	75517.000000	76776.000000	75742.000000	75959.000000	75606.000000	75477.000000	75656.000000	75647.000000	
