*********************************ZONE*********************************
*
*Quelle:                 E:\Prozessdaten\MDK1\Testdaten\Output_sv5_4000_testdaten\sv5_4000_testdaten_ALL\
*SCHWEISSBEDINGUNGEN:    3.5kN          600ms     9.2kA     
*SHEET:                  HX340+Z100MB   HX340+Z100MB   4.0mm     
*AUTOR:                  Xiaochuan Lu
*DATUM:                  2020-12-19
*
**********************************************************************

Punktnummer	Z
 	[-]
   1	1.00000
   2	1.00000
   3	1.00000
   4	2.00000
   5	2.00000
   6	2.00000
   7	3.00000
   8	3.00000
   9	1.00000
  10	1.00000
  11	1.00000
  12	2.00000
  13	2.00000
  14	2.00000
  15	3.00000
  16	3.00000
  17	1.00000
  18	1.00000
  19	1.00000
  20	2.00000
  21	2.00000
  22	2.00000
  23	3.00000
  24	3.00000
  25	1.00000
  26	1.00000
  27	1.00000
  28	2.00000
  29	2.00000
  30	2.00000
  31	3.00000
  32	3.00000
  33	1.00000
  34	1.00000
  35	1.00000
  36	2.00000
  37	2.00000
  38	2.00000
  39	3.00000
  40	3.00000
  41	1.00000
  42	1.00000
  43	1.00000
  44	2.00000
  45	2.00000
  46	2.00000
  47	3.00000
  48	3.00000
  49	1.00000
  50	1.00000
  51	1.00000
  52	2.00000
  53	2.00000
  54	2.00000
  55	3.00000
  56	3.00000
  57	1.00000
  58	1.00000
  59	1.00000
  60	2.00000
  61	2.00000
  62	2.00000
  63	3.00000
  64	3.00000
  65	1.00000
  66	1.00000
  67	1.00000
  68	2.00000
  69	2.00000
  70	2.00000
  71	3.00000
  72	3.00000
  73	1.00000
  74	1.00000
  75	1.00000
  76	2.00000
  77	2.00000
  78	2.00000
  79	3.00000
  80	3.00000
  81	1.00000
  82	1.00000
  83	1.00000
  84	2.00000
  85	2.00000
  86	2.00000
  87	3.00000
  88	3.00000
