name,value,,
0000_0_unten,-2.144125,,
0000_2_unten,-2.22325,0.079125,
0400_0_unten,-2.20075,,
0400_1_unten,-2.2755,,
0400_2_unten,-2.29675,0.096,0.02125
0800_0_unten,-2.228,,
0800_2_unten,-2.47175,0.24375,
1200_0_unten,-2.1595,,
1200_2_unten,-2.4685,,
1200_2_unten2,-2.476875,0.317375,
1600_0_unten,-2.194625,,
1600_2_unten,-2.616625,0.422,
1600_2_unten2,-2.603375,,
2000_0_unten,-2.131,,
2000_0_unten2,-2.263875,,
2000_1_unten2,-2.724625,,
2000_2_unten,-2.66825,0.53725,
2000_2_unten2,-2.74975,,0.025125
2400_0_unten,-2.1645,,
2400_2_unten,-2.760125,0.595625,
2800_0_unten,-2.191125,,
2800_2_unten,-2.800125,0.609,
3200_0_unten,-2.13025,,
3200_2_unten,-2.79775,0.6675,
3600_0_unten,-2.201125,,
3600_2_unten,-2.853875,0.65275,
4000_0_unten,-2.135875,,
4000_2_unten,-2.76625,0.630375,
