pktnum,Ai,ETp,Fs1,GQ,MET,Pmax,Pr,Pv,Qdot,Qsgf,R10,R90,dF,dP,dt,ser
1,0.40166011755734077,0.5019908759157021,0.9051683976769919,0.7359441219164203,0.6159805191415163,0.6446580448982377,0.4278679663672799,0.5212032173332194,0.767096522635253,0.7970562667531018,0.6324213824816026,0.8266077086600817,0.43676447065528984,0.39682021549121493,0.6812387337682554,0.36962541013747274
2,0.4311108018410405,0.27023221413903703,0.9036851198561211,0.7372102605849492,0.4787773591796956,0.6407988887400754,0.4012416493732822,0.5030470089294137,0.7649540276488724,0.792960937433666,0.6245748315315346,0.8311609238070387,0.4650218104273414,0.38622145433720007,0.6518453305132108,0.39146952764225534
3,0.4267775967916701,0.21041004130578295,0.94765481727903,0.7428136318925327,0.43992085004759246,0.6383471098189105,0.40689871241434405,0.49843620933478555,0.7641505641127333,0.7948480132414177,0.6192704497245789,0.8424008798426089,0.47976093642606543,0.3703825610612095,0.5947703080540487,0.38365177746332385
4,0.41648898627740294,0.2782830044659177,0.9094259179325127,0.7455530543886906,0.48014359366815595,0.6487113049611241,0.4164551222371476,0.38574207840949265,0.7710222049625968,0.7954233760651404,0.635911697037044,0.8444196028975668,0.48092031382756506,0.39100341097912367,0.6294065748821275,0.38577096942577244
5,0.4071044226724626,0.2834916465722587,0.9294103944658446,0.7514913226205175,0.500102294249134,0.6613617605100194,0.4265444419273437,0.3917052995550594,0.7763293362925098,0.7944510534744235,0.6513821505555828,0.8495848617636849,0.4826545831732526,0.4049157416058291,0.6224371056229091,0.3870478258558077
6,0.4009801652164898,0.19672935667945,0.9465192071792542,0.7585737875783822,0.45893361425294754,0.6498971324160596,0.4337585944406366,0.360366873395502,0.7789228109536346,0.7962140484829293,0.633872810008271,0.8494747166151454,0.4803049870580375,0.3705451343241619,0.5829795091652376,0.3702222480133956
7,0.3935722633977451,0.21374843671656055,0.8770465617823596,0.7548800219777239,0.4508180450788544,0.6594992888997141,0.44234725799260866,0.3833788767032179,0.7743895949265129,0.7823506646397181,0.6487921772172436,0.8587114932363443,0.46379754460116435,0.3949052365647652,0.5760277599684968,0.3726395246365572
8,0.3863343496642132,0.20464917666772295,0.9234194503529289,0.756218058350608,0.4468768282313146,0.6553140219979705,0.4507500557323489,0.3718793031915141,0.7706691007437028,0.7829370689012948,0.6380732183251144,0.8673673649850865,0.4675133418111999,0.3708296384066745,0.5319453079270657,0.35838258946525436
17,0.3516334903510105,0.026109444504931908,0.7210500156354201,0.7498701403100599,0.4565783599455274,0.6441065384887187,0.4994660426835182,0.3335437450692994,0.7484033021092077,0.7522506671148759,0.6303971211429489,0.8863436542940696,0.4420642366385737,0.33472816125257726,0.39072545273902193,0.3231802733633675
18,0.3459270315138312,0.017331248602729686,0.7989293694499718,0.7552154805050854,0.43461961053930764,0.6478736310673594,0.5077051483025153,0.33958973178891627,0.7529575920546426,0.7577180042604178,0.6287954187462096,0.8845045445030337,0.44619442569693885,0.34297239528617635,0.3837561458573426,0.3169310826573623
33,0.36698893870346094,0.00991173328998044,0.8845423673035331,0.7415971153586378,0.3086891386298446,0.6302513569374525,0.4798568610864316,0.31817541979126723,0.7355896490432726,0.7459569387849745,0.6030624485852624,0.8819663771947632,0.44780954700842246,0.30680745946001353,0.3484871105217865,0.32084680510059466
34,0.35209048421752226,0.059535023075990824,0.8434289356926234,0.7426133443307633,0.30712733044808843,0.628169067244203,0.5000403348472356,0.3150868709057398,0.737632029269372,0.7467139959875242,0.6028542885244174,0.879595490879676,0.44402576918497866,0.2980627468940609,0.35813467794307485,0.30785563756830236
35,0.3378002661300515,0.21657547240533132,0.8679434734085739,0.7455523888116974,0.4723095543326152,0.6286093935420307,0.5206300899378463,0.32509931810757864,0.7415293454902105,0.7529729072404953,0.6044668988975909,0.8782570445056551,0.44662973472143785,0.3105061393346759,0.36755502055339107,0.2961781733746976
36,0.3387723366758169,0.214498291298915,0.8188034979292874,0.743786076706672,0.4250340153914325,0.6391782832807412,0.5187159331284006,0.33234075521915013,0.7433103862752387,0.7490508521878699,0.6144191491818817,0.8804184907771758,0.44027681761533743,0.3335208995770141,0.3968632560339832,0.30206377336780554
49,0.2696877303253347,0.0,0.712178030013193,0.7513588048357336,0.30377369013107436,0.6568849303157664,0.6518572513176185,0.3673409158361023,0.7524929314713973,0.7531673926832289,0.6339173244859315,0.8819543840139205,0.4319606711903473,0.36998991249762914,0.41175445438723507,0.24900083955217503
50,0.30027820105173914,3.6212628512179935e-05,0.8216468491646735,0.7479323355579436,0.25544437321840574,0.674981422730553,0.5860082524162797,0.41357000489157025,0.751020530649719,0.748186016723176,0.6466437519663546,0.8840248885169055,0.43691013965118825,0.41920336548556986,0.4288134008894605,0.28304314961002025
51,0.2948371622072605,0.0035813844194876794,0.8305134740868156,0.754850736754161,0.28787875860792767,0.6630693620513874,0.5970507185484638,0.3779968536199252,0.7578895052738622,0.7612738735413015,0.6319466137102123,0.8796335409191639,0.4376976605983745,0.3821131467048347,0.4287118475481938,0.2711937809806575
52,0.2916819447659433,0.022221639089673884,0.852242437278388,0.7492877753193912,0.2883418739356421,0.6422017565497662,0.6037846237116498,0.3441853986765897,0.7478562805632102,0.7567813745815125,0.6193722902118451,0.8815127056437249,0.4349836385436733,0.3422674773451435,0.3879281439434529,0.26267335610161524
65,0.24187614585744582,0.014419153069873236,0.8122660459322463,0.7482838841591557,0.2827413022431767,0.648351092439218,0.7270124969700522,0.35108217920672924,0.75252587499828,0.7544434854993637,0.6286045317759954,0.8759875051098189,0.42710143283924645,0.35168954357691956,0.43957905418056903,0.22120385000545925
66,0.23622492959766636,0.0,0.8423202377461898,0.7489088900415737,0.2655844126157588,0.6600874065255525,0.7445731582114482,0.3795964255820526,0.7554886329362283,0.7556226997635048,0.6354239848390634,0.8733775636982823,0.43292662309926916,0.3823338001045877,0.46078437613149836,0.21850499365900355
67,0.23019198570793575,0.0,0.9132012882373626,0.7490020362755048,0.2688588912617288,0.651794541413875,0.7640820103003888,0.3601769533910667,0.7533404320611601,0.7558446252441258,0.6297221139246968,0.8751978584190547,0.4368404099370664,0.35980965344223964,0.4404104718397367,0.2108859235385433
68,0.2255065914761697,0.0,0.7869342905075509,0.7500956313300052,0.27073061694089107,0.6646684774819003,0.7805847479616722,0.3933652312880114,0.7542428684314618,0.7501052629927312,0.6398316242860486,0.8754699254846565,0.43339247948224024,0.39332941480849,0.4386342219470696,0.21008582629175368
