pktnum,ETS,ETp,Fs1,Fs2,GQ,Isoll,MET,Pmax,Pv,Qdot,Qsgf,R10,R90,dF,dI,dP,dR,dt,ser,zustand
1,0.159677116,0.230051501,1.327043588,0.494029002,6.58060326,7,0.230051501,11.64706693,6.611995887,10.92101609,201.1353832,0.188529727,0.189322833,0.481557577,0.041080476,1.838531576,0,0.000400094,1.42169831,0
2,0.071673407,0.235396702,1.867521566,0.613540532,8.058647761,8,0.235396702,14.80670177,8.772066217,14.17366586,237.1901513,0.192262148,0.168726676,0.489309325,0.065693152,3.288823066,0,0.017593999,1.268832812,0
3,0.009919259,0.333554613,2.037245055,0.996014685,9.150586853,9,0.380231589,17.02308391,11.16575958,16.17741654,267.4754724,0.167568267,0.152429926,0.516441621,0.067314651,4.035082197,0,0.019231511,1.176968627,0
4,-0.033175472,0.347793429,1.926336889,0.7699948,9.171635163,9,0.393687609,16.90657475,7.773754567,16.2520469,268.3901162,0.175240656,0.152957043,0.487382496,0.053275049,3.897838277,0,0.01988768,1.185643197,0
5,-0.045830804,0.291943808,2.009438324,0.986593087,9.263488371,9,0.399055748,17.36884432,8.045824528,16.65288608,265.5812381,0.187903251,0.151387916,0.476116316,0.078741118,4.494558498,0,0.023926598,1.155805544,0
6,-0.02061648,0.360634542,1.880510858,0.924691961,9.230887064,9,0.434080062,17.18720957,7.876855488,16.41512796,266.0752434,0.184865201,0.151418009,0.504070936,0.071319644,4.372442481,0,0.020891115,1.177854736,0
7,-0.012160511,0.385169439,2.025818244,0.869318933,9.203757155,9,0.406706994,17.39857586,12.64238423,16.420157,266.8144464,0.177384865,0.152412235,0.515570743,0.064809715,4.511687661,0,0.021793359,1.193635579,0
8,-0.050415582,0.228620041,2.351561356,1.040247779,9.197832297,9,0.28963238,17.7667651,12.91050331,16.56447092,266.5694705,0.181043157,0.151896473,0.534721537,0.063334923,4.924711487,0,0.024418856,1.140216369,0
9,0.093273672,0.33873187,2.455238075,0.743109856,9.503842675,9,0.33873187,18.39716007,13.28575198,16.9734173,283.0126386,0.178704854,0.150856809,0.541748281,0.10252199,5.094687311,0,0.022293671,1.166469134,0
10,0.092825908,0.347461901,2.436022071,1.008793447,9.631312963,9.2,0.406499092,18.62134836,9.519445136,17.54892609,274.9503031,0.189570557,0.148396838,0.524621713,0.062050936,5.365635251,0,0.027682992,1.150190463,0
11,0.285065931,0.470061488,2.155340771,9.689129376,9.470042005,9.4,0.887885098,18.84769708,9.664842354,17.97325886,278.253232,0.185588149,0.142899052,0.880451186,0.427654416,5.437826902,0,0.03867804,1.146046069,2
12,0.050956643,0.346565476,2.370529463,1.112181131,9.881679872,9.4,0.379609679,18.46219543,12.50412042,17.83654923,282.0734556,0.182592589,0.147266588,0.528343607,0.050906883,4.757317655,0,0.025100849,1.141150079,0
13,-0.055282061,0.236357625,2.126719277,0.949124601,9.911960386,9.4,0.354283967,18.63804496,8.715874615,17.81115253,285.5715801,0.184017068,0.148054582,0.468686394,0.061669046,4.903899693,0,0.023884691,1.113661926,0
14,0.084944245,0.396978746,2.415103805,0.956821201,9.995630911,9.5,0.431472359,19.3922415,14.2932516,18.25329648,283.9619166,0.182590031,0.144495228,0.489807203,0.07344982,5.724876062,0,0.028347709,1.135341601,0
15,0.374421194,0.897491527,2.396520792,3.972456197,9.986242508,9.6,1.394607227,19.52186934,12.36707542,18.56831912,258.5183834,0.18389984,0.129672077,1.142478402,0.143417487,6.964518524,0,0.033295565,1.183241406,1
16,0.352742803,0.896964571,2.2295637,4.070241055,9.96830429,9.6,1.408022612,18.89445223,16.1954779,18.27553009,257.7156667,0.17851845,0.129278655,1.158390604,0.107642034,6.470579284,0,0.029493271,1.179451153,1
17,0.410244391,0.644572217,2.242343668,11.17479956,9.649155677,9.6,1.000015271,19.07926564,9.79084415,18.30477827,282.8697624,0.178261043,0.14058734,0.931307795,0.382436443,5.44478634,0,0.038596824,1.186146106,2
18,0.404170847,0.905456318,2.310458881,3.643097739,10.03094787,9.6,1.402992739,19.57301422,17.72653042,18.58303788,259.6585599,0.181773568,0.128820261,1.141054643,0.138588023,7.0822807,0,0.032335721,1.178494142,1
19,0.441550739,0.863815901,2.238192048,4.499546989,9.988150673,9.6,1.372078266,19.21069279,17.89420976,18.46191303,261.0105119,0.177591066,0.129272168,1.169927213,0.132038576,6.62855212,0,0.031714052,1.166926097,1
20,0.27841523,0.480424943,2.218720078,13.30537259,9.830503828,9.6,0.739146924,19.35486559,12.06129544,18.29897611,300.9973795,0.172634093,0.148485618,0.761599527,0.423678964,4.861184513,0,0.033538206,1.194356643,2
21,0.381542535,0.593073759,2.565168548,10.17164572,9.860833189,9.6,0.90705107,19.58139969,13.39863276,18.6281619,295.4660152,0.180980425,0.146237461,0.898766616,0.310035062,5.339757113,0,0.037475778,1.215166464,2
22,0.337632521,0.529760934,2.112849365,15.78243619,9.993272573,9.7,0.768545739,19.7019422,9.117780014,18.71064239,302.0773253,0.183798479,0.146235183,0.776811509,0.458531504,5.157472265,0,0.035108375,1.192977762,2
23,0.44832761,0.78637034,2.337922449,3.954243982,10.0079022,9.7,1.142612479,20.17649155,18.73893708,18.53780275,267.169324,0.170355348,0.129873191,1.053924648,0.124396088,7.280077057,0,0.032293755,1.144098858,1
24,-1.200135568,0.878716109,1.892016289,4.147659152,10.12453292,9.7,7.072685792,19.36090671,20.03275543,18.3838145,262.3367217,0.177629419,0.127860964,1.115886218,0.104457996,6.73701565,0,0.026890596,1.159697105,1
25,0.081521184,0.401085195,2.21457306,1.08298087,11.14068721,9.7,0.433484164,22.00406287,17.42047777,19.98678478,330.3568356,0.147642005,0.12848209,0.49210028,0.080094526,6.531633935,0,0.02401467,1.010673541,0
26,0.260952722,0.544458587,1.881804912,9.668860478,9.937756746,9.7,0.840245696,18.92281768,8.585049975,18.2196415,298.1538031,0.171449941,0.143586896,0.737830743,0.382420242,4.451090861,0,0.029455228,1.176355464,2
27,0.439268457,0.863938757,2.372240707,4.175712009,10.12555976,9.7,1.210912495,19.81535732,18.44378497,18.74516532,269.1431776,0.179332913,0.130224822,1.062718706,0.118323857,6.822909375,0,0.032136432,1.175571659,1
28,0.438147636,0.672670623,2.646791651,11.24649966,9.95848959,9.7,0.946893078,19.72921753,9.434772966,18.88226808,300.6779742,0.177393738,0.144080624,0.942906532,0.38237329,5.237431169,0,0.038466649,1.225884786,2
29,0.225112736,0.470288338,2.307619934,20.02868262,10.19190184,9.7,0.577495229,19.73589121,14.26963679,18.49781988,302.9154369,0.172618312,0.147198947,0.643721859,0.419052226,5.049453673,0,0.026681923,1.180606968,2
30,0.356279465,0.630586705,2.190384578,9.029884485,10.10555608,9.8,0.826310077,19.41744222,8.592753892,18.60420387,305.4564459,0.171992839,0.144253782,0.738915447,0.387383622,4.718109307,0,0.030602864,1.212028387,2
31,0.494478181,1.021719502,2.729721716,3.926852139,10.25703281,9.8,1.376740278,20.23591815,16.70075629,18.96403893,269.8220681,0.171513735,0.128043216,1.188540337,0.12350607,7.24261698,0,0.031827221,1.217112839,1
32,0.601005558,0.836428916,2.751991763,4.498112675,9.948454504,9.8,0.920048214,20.45305719,15.6999443,18.22970327,292.0139472,0.166907856,0.139005829,0.758696665,0.505511201,6.375119383,0.030033704,0.029337274,1.243928114,2
33,0.37348168,0.589038531,2.191161471,12.25166667,10.05120861,9.8,0.917938588,20.03788279,15.2293655,18.99938729,301.0574874,0.172407808,0.142808584,0.898047167,0.454435576,5.526584446,0,0.037682152,1.185270212,2
34,0.34679383,0.651301294,2.031735354,11.58953671,10.15419957,9.8,0.843832744,20.0963695,9.857484433,18.82623267,302.8215502,0.176600862,0.143409778,0.773949262,0.417178758,5.437486988,0,0.032513992,1.212390596,2
35,0.373653592,0.61649522,1.902274298,13.02160968,10.02951893,9.8,0.957742641,19.52477708,12.49916161,18.65681757,300.851556,0.165778102,0.142218735,0.895626314,0.351341393,5.037662094,0,0.033406536,1.189953211,2
36,0.005890945,0.429636907,1.971708286,0.817350032,10.3860924,9.8,0.46522788,19.02456718,8.707608248,18.02584727,304.8100033,0.161344221,0.143593596,0.486006375,0.093600088,4.344138679,0,0.014117334,1.138577393,0
37,0.329119128,0.622183085,1.910827011,14.52201108,10.09811178,9.8,0.790076059,19.23612185,13.7605181,18.31519431,308.8903666,0.165474369,0.144859806,0.648988675,0.449064901,4.364973945,0,0.026530445,1.21409218,2
38,0.415712737,0.991976428,2.262675409,3.815169788,10.47790436,9.9,1.341397294,19.96938869,16.22397812,19.09939085,275.5873722,0.168965299,0.1290806,1.152791703,0.088940834,6.701800881,0,0.027976572,1.214841472,1
39,0.557958783,0.915382924,2.05651764,6.706526952,10.27595979,9.9,1.339260677,19.89520792,11.29017404,19.0840934,284.9543234,0.169087452,0.132775688,1.097456071,0.177389104,6.165225337,0,0.033022671,1.218588768,1
40,0.415655989,1.07181184,2.253006812,3.846398055,10.38483478,9.9,1.447479125,19.96439686,16.26299031,18.99070072,275.1397728,0.166210084,0.129695599,1.166112498,0.10874842,6.709784543,0,0.028842053,1.253909316,1
41,0.504658662,0.708265122,2.178649367,11.66688251,9.944945165,9.9,1.021900935,19.81414248,13.70544825,18.61081055,299.1503716,0.157327439,0.139758641,0.87279948,0.477926513,5.420641839,0,0.035039224,1.201970168,2
42,0.651863581,0.938890055,1.945016351,6.063388128,10.09187922,9.9,1.347110763,19.63596053,12.13562615,18.47476522,270.4374696,0.164390629,0.127981378,1.120029055,0.149147302,6.590615851,0,0.029124965,1.183607539,1
